Comment;Model;MSETrain;MSETest;sMSETrain;sMSETest;R2Train;R2Test;TrainShape;TestShape
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";100.59757225032696;773.7259901240457;10.029834108813912;27.815930509764467;0.02872319234510534;-0.1820298422580957;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";20.000218931460626;2544.6581746044335;4.472160432214013;50.44460500989609;0.8068964452958266;-2.887502732390087;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";20.15258076417401;956.7478136017764;4.4891625905255435;30.931340313697635;0.8054253808240314;-0.46163432743312205;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";37.49191808324131;1784.0433952085502;6.123064435659755;42.237937866431764;0.6380128297914163;-1.7255030332920236;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";69.12719408395199;702.2477306364885;8.314276521980249;26.499957181785945;0.33257196083295215;-0.07283170639941194;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";88.10706847577268;717.9333065852463;9.386536553797288;26.794277496981447;0.14931990616998747;-0.09679473607800015;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";87.1430368306327;720.2901300912326;9.335043483060627;26.838221440535747;0.15862770115772196;-0.1003952816879059;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";99.151713225062;757.4644179554301;9.957495328899833;27.52207146919414;0.04268306540132516;-0.1571868567171093;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";101.22573842559174;770.6635142254808;10.061100259195896;27.76082697301146;0.022658202666530958;-0.1773512636016914;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:False + доп.фичи + масштабирование ss + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";101.22573842559174;770.6635142254808;10.061100259195896;27.76082697301146;0.022658202666530958;-0.1773512636016914;(5000, 3008);(3931, 3008)
